name	modalities	tags	used_in	url	licenses	pii_removal	robots_filtering	version	raw_dir	processed_dir	tokenized_dir	processing_script	tokenization_script	dumps_preparation_script	chunking_script	notes	pocs
PleIAs/SYNTH	text	pre-training	v1.5	https://huggingface.co/datasets/PleIAs/SYNTH	CC-BY-4.0	Yes	No	6ebe6a97043747aa5f2232ea1182841c4a6afcb0	/capstor/store/cscs/swissai/infra01/datasets/PleIAs/SYNTH/	/capstor/store/cscs/swissai/infra01/datasets/swiss-ai/SYNTH-preprocessed/	/capstor/store/cscs/swissai/infra01/datasets_tokenized/SYNTH-preprocessed/Apertus-70B-2509/SYNTH/	https://github.com/swiss-ai/data-pipeline-pretrain/blob/bm/apertus-1.5/pipelines/pleias_synth/main.py	https://github.com/swiss-ai/Megatron-LM/blob/bm/Apertus-1.5-tokenization/scripts/tokenization/submit_tokenization_pleias.sh	https://github.com/swiss-ai/Megatron-LM/blob/bm/Apertus-1.5-tokenization/scripts/tokenization/prepare_dumps_pleias.sh
HuggingFaceFW/fineweb-2	text	pre-training	v1, v1.5	https://huggingface.co/datasets/HuggingFaceFW/fineweb-2	odc-by	Yes	Yes	4c6643774aad7f5970955b43fa357008a92471d8	/capstor/store/cscs/swissai/infra01/datasets/HuggingFaceFW/fineweb-2	/capstor/store/cscs/swissai/infra01/datasets_tokenized/fineweb-2_0_1-quality_10-100_langs-filterrobots	/capstor/scratch/cscs/dtamayomela/data/corrected_data/swissai-fineweb-2_0_1-quality_10-filterrobots/first_half_CPT/		https://github.com/swiss-ai/Megatron-LM/blob/bm/Apertus-1.5-tokenization/scripts/tokenization/submit_tokenization_fineweb2_hq_v2.sh	https://github.com/swiss-ai/Megatron-LM/blob/bm/Apertus-1.5-tokenization/scripts/tokenization/prepare_dumps_fineweb2_hq_v2.sh
HuggingFaceFW/finetranslations	text	pre-training	v1.5	https://huggingface.co/datasets/HuggingFaceFW/finetranslations	odc-by	Yes	Yes	af3f4ca895450216d4771cdbf3e3b95c5bacaa2a	/capstor/store/cscs/swissai/infra01/datasets/HuggingFaceFW/finetranslations/		/capstor/scratch/cscs/dtamayomela/data/corrected_data/finetranslations/	https://github.com/swiss-ai/data-pipeline-pretrain/blob/bm/apertus-1.5/pipelines/finetranslations/2026-04-28_main_bettina.py	https://github.com/swiss-ai/Megatron-LM/blob/bm/Apertus-1.5-tokenization/scripts/tokenization/submit_tokenization_finetranslations.sh	https://github.com/swiss-ai/Megatron-LM/blob/bm/Apertus-1.5-tokenization/scripts/tokenization/prepare_dumps_finetranslations.sh
HuggingFaceTB/finemath	text	pre-training	v1, v1.5	https://huggingface.co/datasets/HuggingFaceTB/finemath	odc-by	Yes	Yes	8f233cf84cff0b817b3ffb26d5be7370990dd557	/capstor/store/cscs/swissai/infra01/datasets/HuggingFaceTB/finemath/	/capstor/store/cscs/swissai/infra01/datasets/swiss-ai/finemath-filterrobots_fine	/iopsstor/scratch/cscs/jpcoles/a06/finemath-3plus-merge/	https://github.com/swiss-ai/pretrain-data/blob/main/pipelines/finemath/main.py	https://github.com/swiss-ai/Megatron-LM/blob/main/scripts/merge_datasets/merge_datasets.py	None
Infi-MM/InfiMM-WebMath-40B	text	pre-training	v1, v1.5	https://huggingface.co/datasets/Infi-MM/InfiMM-WebMath-40B	odc-by	Yes	Yes	8f233cf84cff0b817b3ffb26d5be7370990dd557	/capstor/store/cscs/swissai/infra01/users/bmessmer/	/capstor/store/cscs/swissai/infra01/datasets/swiss-ai/finemath-filterrobots_fine	/iopsstor/scratch/cscs/jpcoles/a06/infiwebmath-3plus-fine-merge/	https://github.com/swiss-ai/pretrain-data/blob/main/pipelines/finemath/main.py	https://github.com/swiss-ai/Megatron-LM/blob/main/scripts/merge_datasets/merge_datasets.py	None
LLM360/MegaMath	text	pre-training	v1, v1.5	https://huggingface.co/datasets/LLM360/MegaMath	odc-by	Yes	Yes	3cbc64616594d6bc8759abaa0b2a71858f880f0d	/capstor/store/cscs/swissai/infra01/datasets/LLM360/MegaMath/	/capstor/store/cscs/swissai/infra01/datasets/swiss-ai/megamath-web	/iopsstor/scratch/cscs/jpcoles/a06/swissai-megamath-web-filterrobots-merge/	https://github.com/swiss-ai/pretrain-data/blob/main/pipelines/megamath/main.py	https://github.com/swiss-ai/Megatron-LM/blob/main/scripts/merge_datasets/merge_datasets.py	None
OpenCoder-LLM/opc-annealing-corpus	text	pre-training	v1.5	https://huggingface.co/datasets/OpenCoder-LLM/opc-annealing-corpus	odc-by	Yes	Yes	078e4bc1d39725cccc18514d2e3278a3fe191110	/capstor/store/cscs/swissai/infra01/datasets/swiss-ai/code/opencoder/	/capstor/store/cscs/swissai/infra01/datasets/swiss-ai/code/opencoder/	/capstor/store/cscs/swissai/infra01/code/tokenized/original/opencoder/		https://github.com/swiss-ai/Megatron-LM/blob/main/scripts/tokenization/preprocess_megatron.py
HuggingFaceTB/stack-edu	text	pre-training	v1, v1.5	https://huggingface.co/datasets/HuggingFaceTB/stack-edu	other	Yes	Yes	eeec5caac5cc3758a18f1d3ba4416837a9ba814c	/capstor/store/cscs/swissai/infra01/datasets/swiss-ai/code/stackv2-edu/	/capstor/store/cscs/swissai/infra01/datasets/swiss-ai/code/stackv2-edu/	/capstor/store/cscs/swissai/infra01/code/tokenized/original/stackv2-edu/		https://github.com/swiss-ai/Megatron-LM/blob/main/scripts/tokenization/preprocess_megatron.py
nvidia/Nemotron-Pretraining-Code-v1	text	pre-training	v1.5	https://huggingface.co/datasets/nvidia/Nemotron-Pretraining-Code-v1	other	Yes	Yes	01393d3bd890ddc5c15da8a2c9afb57391277659	/capstor/store/cscs/swissai/infra01/datasets/swiss-ai/code/Nemotron-Pretraining-Code-v1-Synthetic	/capstor/store/cscs/swissai/infra01/datasets/swiss-ai/code/Nemotron-Pretraining-Code-v1-Synthetic	/capstor/store/cscs/swissai/infra01/code/tokenized/original/Nemotron-Pretraining-Code-v1-Synthetic/		https://github.com/swiss-ai/Megatron-LM/blob/main/scripts/tokenization/preprocess_megatron.py
voilaj/swiss-caselaw	text	pre-training	v1.5	https://huggingface.co/datasets/voilaj/swiss-caselaw	CC0-1.0	Yes	Yes	0e81bbe643227a4e8b0c524acc4d8884bdf04a05				https://github.com/swiss-ai/data-pipeline-pretrain/blob/eb116354a5d131d80597447b49dc3ad1a28f96d5/pipelines/voilaj/swiss-caselaw/main.py	https://github.com/swiss-ai/Megatron-LM/blob/cc6cfeb68398609d1c9914e9232d461202c7d921/scripts/tokenization/submit_tokenization_swiss_caselaw.sh	https://github.com/swiss-ai/Megatron-LM/blob/bm/Apertus-1.5-tokenization/scripts/tokenization/submit_tokenization_swiss_caselaw.sh	None
institutional/institutional-books-1.0	text	pre-training	v1, v1.5	https://huggingface.co/datasets/institutional/institutional-books-1.0	other	Yes	Yes	d2f504a112fa057ddd2bc536188535a674a90270	/capstor/store/cscs/swissai/infra01/datasets/institutional/institutional-books-1.0	/capstor/store/cscs/swissai/infra01/datasets/swiss-ai/institutional-books-1.0-filtered	/capstor/store/cscs/swissai/infra01/datasets_tokenized/institutional-books-1.0-filtered	❓	❓	❓	https://github.com/swiss-ai/LongContextQA/tree/main/separation_script
